CEC Modules,T_noct,A_c,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,Alpha_sc,Beta_oc,A_ref,I_l_ref,I_o_ref,R_s,R_sh_ref,Adjust,Gamma_r,Source
CentroSolar Sonnenstromfabrik CP6235SW,46.5,1.61,60,8.59,36.46,8.19,28.65,0.010566,-0.1287,1.5802,8.701,8.303e-010,0.407,100000,10,-0.444,Multi-c-Si
CentroSolar Sonnenstromfabrik CP6240BW,46.5,1.61,60,8.7,36.53,8.35,28.75,0.011136,-0.12895,1.5897,8.871,9.295e-010,0.392,100000,10.8,-0.444,Multi-c-Si
CentroSolar Sonnenstromfabrik CP6240SW,46.5,1.61,60,8.7,36.53,8.35,28.75,0.010701,-0.12895,1.584,8.87,8.55e-010,0.393,100000,10.1,-0.444,Multi-c-Si
CertainTeed Apollo,58.5,0.528,14,8.07,8.7,7.65,6.79,0.004842,-0.03132,0.3866,8.146,1.376e-009,0.108,100000,13.7,-0.53,Multi-c-Si
CertainTeed APOLLO TILE-B,56.9,0.528,14,8.07,8.7,7.65,6.79,0.004842,-0.03132,0.3866,8.151,1.37e-009,0.108,1362.46,13.83,-0.53,Multi-c-Si
CertainTeed APOLLO TILE-G,56.9,0.528,14,8.07,8.7,7.65,6.79,0.004842,-0.03132,0.3866,8.151,1.37e-009,0.108,1362.46,13.83,-0.53,Multi-c-Si
Changzhou Almaden SEAP60-230,46.6,1.629,60,8.32,36.85,7.92,29.05,0.004782,-0.12089,1.5502,8.404,3.98e-010,0.424,5075.73,12.82,-0.474,Mono-c-Si
Changzhou Almaden SEAP60-235,46.6,1.629,60,8.41,37.24,8,29.36,0.004834,-0.1222,1.5673,8.496,4.07e-010,0.423,2424.69,12.89,-0.474,Mono-c-Si
Changzhou Almaden SEAP60-240,46.6,1.629,60,8.5,37.64,8.09,29.67,0.004885,-0.12349,1.5835,8.586,4.07e-010,0.424,4099.52,12.82,-0.474,Mono-c-Si
Changzhou Almaden SEAP60-245,46.6,1.629,60,8.59,38.03,8.17,29.98,0.004936,-0.12477,1.6005,8.678,4.15e-010,0.424,2198.92,12.91,-0.474,Multi-c-Si
Changzhou Almaden SEAP60-250,46.6,1.629,60,8.68,38.41,8.26,30.28,0.004986,-0.12604,1.6161,8.768,4.17e-010,0.423,3383.49,12.83,-0.474,Multi-c-Si
Changzhou Almaden SEAP60-255,46.6,1.629,60,8.76,38.8,8.34,30.59,0.005036,-0.12729,1.6322,8.848,4.19e-010,0.423,6313.48,12.81,-0.474,Multi-c-Si
Changzhou Almaden SEAP60-260,46.6,1.629,60,8.85,39.18,8.42,30.88,0.005085,-0.12854,1.6484,8.94,4.25e-010,0.425,2846.85,12.85,-0.474,Multi-c-Si
Changzhou Almaden SEAP72-280,46.6,1.94,72,8.38,44.53,7.98,35.11,0.004817,-0.14612,1.8731,8.464,4e-010,0.507,12818.4,12.78,-0.474,Multi-c-Si
Changzhou Almaden SEAP72-285,46.6,1.94,72,8.46,44.93,8.05,35.42,0.00486,-0.14742,1.8905,8.546,4.07e-010,0.508,3753.48,12.85,-0.474,Multi-c-Si
Changzhou Almaden SEAP72-290,46.6,1.94,72,8.53,45.32,8.12,35.73,0.004902,-0.14871,1.9066,8.616,4.09e-010,0.508,6118.56,12.81,-0.474,Multi-c-Si
Changzhou Almaden SEAP72-295,46.6,1.94,72,8.6,45.71,8.19,36.04,0.004944,-0.14998,1.9226,8.686,4.11e-010,0.508,16041.1,12.78,-0.474,Multi-c-Si
Changzhou Almaden SEAP72-300,46.6,1.94,72,8.68,46.1,8.26,36.34,0.004986,-0.15125,1.9395,8.768,4.17e-010,0.508,4087.54,12.84,-0.474,Multi-c-Si
Changzhou Almaden SEAP72-305,46.6,1.94,72,8.75,46.48,8.32,36.64,0.005027,-0.1525,1.9564,8.839,4.24e-010,0.508,2254.99,12.93,-0.474,Multi-c-Si
Changzhou Eging Photovoltaic Technology EGM-150,45.2,1.277,72,4.95,43.2,4.39,34.2,0.002124,-0.14576,1.8423,4.988,3.003e-010,0.825,107.93,12.1,-0.458,Mono-c-Si
Changzhou Eging Photovoltaic Technology EGM-155,45.2,1.277,72,5,43.4,4.51,34.4,0.00214,-0.14643,1.8322,5.028,2.441e-010,0.811,145.43,10.1,-0.458,Mono-c-Si
