CEC Modules,T_noct,A_c,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,Alpha_sc,Beta_oc,A_ref,I_l_ref,I_o_ref,R_s,R_sh_ref,Adjust,Gamma_r,Source
Topsun TS-M420JA1,50,2.564,96,8.91,62.06,8.41,49.94,0.004687,-0.19201,2.4509,8.915,8.92e-011,0.576,1099.13,5.64,-0.405,Multi-c-Si
Topsun TS-S420SA1,48.3,2.564,96,9.12,60.65,8.62,48.73,0.000952,-0.22052,2.4508,9.122,1.627e-010,0.546,2282.97,-5.426,-0.466,Mono-c-Si
Topsun TS-S420TA1,51.4,2.564,96,9.12,60.65,8.62,48.73,0.00456,-0.21834,2.6032,9.22,6.93e-010,0.507,536.93,6.776,-0.48,Mono-c-Si
Trina Solar TSM-165DA01,45.5,1.262,72,5.2,43.2,4.65,35.6,0.00156,-0.13824,1.7951,5.222,1.71e-010,0.465,111.69,12.87,-0.43,Mono-c-Si
Trina Solar TSM-170D,45.2,1.279,72,5.25,43.6,4.76,35.8,0.002205,-0.15827,1.9261,5.265,7.355e-010,0.443,154.48,11.4,-0.482,Mono-c-Si
Trina Solar TSM-170DA01,45.5,1.262,72,5.25,43.6,4.76,35.8,0.001575,-0.13952,1.7919,5.268,1.34e-010,0.503,143.86,10.58,-0.43,Mono-c-Si
Trina Solar TSM-170DA03,45.8,1.305,48,7.72,29.2,7.1,24,0.003028,-0.10713,1.3094,7.734,1.541e-009,0.192,107.84,13.4,-0.508,Mono-c-Si
Trina Solar TSM-170PA03,46.3,1.305,48,7.72,29.2,7.1,24,0.005629,-0.11005,1.3902,7.731,5.654e-009,0.169,120.29,22.4,-0.542,Multi-c-Si
Trina Solar TSM-175D,45.2,1.279,72,5.3,43.9,4.85,36.2,0.002226,-0.15949,1.933,5.311,6.964e-010,0.409,193.63,10.7,-0.482,Mono-c-Si
Trina Solar TSM-175DA01,45.5,1.262,72,5.3,43.9,4.85,36.2,0.00159,-0.14048,1.7984,5.314,1.27e-010,0.467,177.19,9.95,-0.43,Mono-c-Si
Trina Solar TSM-175DA03,45.8,1.305,48,7.82,29.4,7.25,24.2,0.003067,-0.10787,1.3128,7.83,1.435e-009,0.187,148.53,12.6,-0.508,Mono-c-Si
Trina Solar TSM-175PA03,46.3,1.305,48,7.82,29.4,7.25,24.2,0.005702,-0.11081,1.3934,7.827,5.254e-009,0.164,173.43,21.5,-0.542,Multi-c-Si
Trina Solar TSM-180D,45.2,1.279,72,5.35,44.2,4.9,36.8,0.002247,-0.16058,1.9567,5.359,7.939e-010,0.323,195.18,11.8,-0.482,Mono-c-Si
Trina Solar TSM-180DA01,45.5,1.262,72,5.35,44.2,4.9,36.8,0.001605,-0.14144,1.8199,5.361,1.45e-010,0.382,178.79,11.05,-0.43,Mono-c-Si
Trina Solar TSM-180DA03,45.8,1.305,48,7.95,29.6,7.38,24.4,0.003118,-0.1086,1.3217,7.959,1.459e-009,0.18,156.01,12.6,-0.508,Mono-c-Si
Trina Solar TSM-180PA03,46.3,1.305,48,7.95,29.6,7.38,24.4,0.005796,-0.11156,1.4028,7.957,5.343e-009,0.157,183.96,21.5,-0.542,Multi-c-Si
Trina Solar TSM-185DA01,45.8,1.262,72,5.4,44.5,4.95,37.5,0.002118,-0.16329,2.0304,5.405,1.57e-009,0.194,202.26,17.11,-0.508,Mono-c-Si
Trina Solar TSM-185DA01A,45.3,1.262,72,5.48,44.6,5.14,36.1,0.00274,-0.1561,1.8815,5.484,2.75e-010,0.581,709.53,6.298,-0.46,Mono-c-Si
Trina Solar TSM-185DA01A.05,45.7,1.262,72,5.48,44.6,5.14,36.1,0.002192,-0.15164,1.861,5.485,2.12e-010,0.589,670.58,7.279,-0.46,Mono-c-Si
Trina Solar TSM-185DA01A.08,45.3,1.262,72,5.48,44.6,5.14,36.1,0.00274,-0.1561,1.8815,5.484,2.75e-010,0.581,709.53,6.298,-0.46,Mono-c-Si
Trina Solar TSM-185DA03,45.8,1.305,48,8.08,29.8,7.5,24.7,0.003169,-0.10934,1.3352,8.088,1.601e-009,0.156,150.79,13.3,-0.508,Mono-c-Si
Trina Solar TSM-185PA03,46.3,1.305,48,8.08,29.8,7.5,24.7,0.005891,-0.11232,1.4176,8.086,5.876e-009,0.134,176.74,22.3,-0.542,Multi-c-Si
Trina Solar TSM-190DA01A,45.3,1.262,72,5.52,45.1,5.18,36.8,0.00276,-0.15785,1.9111,5.524,3.08e-010,0.516,695.29,7.205,-0.46,Mono-c-Si
Trina Solar TSM-190DA01A.05,45.7,1.262,72,5.52,45.1,5.18,36.8,0.002208,-0.15334,1.8902,5.524,2.37e-010,0.524,658.61,8.191,-0.46,Mono-c-Si
Trina Solar TSM-190DA01A.08,45.3,1.262,72,5.52,45.1,5.18,36.8,0.00276,-0.15785,1.9111,5.524,3.08e-010,0.516,695.29,7.205,-0.46,Mono-c-Si
Trina Solar TSM-190DA03,45.8,1.305,48,8.2,29.8,7.62,25,0.003216,-0.10934,1.3443,8.206,1.889e-009,0.108,150.89,14.7,-0.508,Mono-c-Si
Trina Solar TSM-190PA03,46.3,1.305,48,8.2,29.8,7.62,25,0.005979,-0.11232,1.4269,8.204,6.839e-009,0.085,176.25,23.7,-0.542,Multi-c-Si
Trina Solar TSM-195DA01A,45.3,1.262,72,5.56,45.6,5.22,37.4,0.00278,-0.1596,1.9376,5.564,3.31e-010,0.475,700.67,7.767,-0.46,Mono-c-Si
Trina Solar TSM-195DA01A.05,45.7,1.262,72,5.56,45.6,5.22,37.4,0.002224,-0.15504,1.9163,5.564,2.54e-010,0.483,663.96,8.757,-0.46,Mono-c-Si
Trina Solar TSM-195DA01A.08,45.3,1.262,72,5.56,45.6,5.22,37.4,0.00278,-0.1596,1.9376,5.564,3.31e-010,0.475,700.67,7.767,-0.46,Mono-c-Si
Trina Solar TSM-200DA01A,45.3,1.262,72,5.62,46.2,5.26,38.2,0.00281,-0.1617,1.9761,5.625,3.89e-010,0.406,502.5,9.102,-0.46,Mono-c-Si
Trina Solar TSM-200DA01A.05,45.7,1.262,72,5.62,46.2,5.26,38.2,0.002248,-0.15708,1.9543,5.625,2.99e-010,0.414,483.76,10.1,-0.46,Mono-c-Si
Trina Solar TSM-200DA01A.08,45.3,1.262,72,5.62,46.2,5.26,38.2,0.00281,-0.1617,1.9761,5.625,3.89e-010,0.406,502.5,9.102,-0.46,Mono-c-Si
Trina Solar TSM-205DA01A,45.3,1.262,72,5.66,46.6,5.32,38.6,0.00283,-0.1631,1.9902,5.663,3.8e-010,0.393,729.45,8.819,-0.46,Mono-c-Si
Trina Solar TSM-205DA01A.05,45.7,1.262,72,5.66,46.6,5.32,38.6,0.002264,-0.15844,1.9683,5.663,2.92e-010,0.401,690.68,9.817,-0.46,Mono-c-Si
Trina Solar TSM-205DA01A.08,45.3,1.262,72,5.66,46.6,5.32,38.6,0.00283,-0.1631,1.9902,5.663,3.8e-010,0.393,729.45,8.819,-0.46,Mono-c-Si
Trina Solar TSM-220DA05,46.3,1.618,60,8,36.8,7.39,29.8,0.002776,-0.13852,1.6467,8.015,1.53e-009,0.302,165.96,10.35,-0.522,Mono-c-Si
Trina Solar TSM-220PA05,46.1,1.618,60,8.15,36.8,7.6,29,0.004075,-0.11408,1.5086,8.164,2.05e-010,0.451,268.09,13.6,-0.45,Multi-c-Si
Trina Solar TSM-220PA05.05,45,1.618,60,8.15,36.8,7.6,29,0.004775,-0.12135,1.4995,8.164,1.76e-010,0.454,261.96,5.364,-0.432,Multi-c-Si
Trina Solar TSM-220PA05.08,46.1,1.618,60,8.15,36.8,7.6,29,0.004075,-0.11408,1.5086,8.164,2.05e-010,0.451,268.09,13.6,-0.45,Multi-c-Si
Trina Solar TSM-220PA05.10,46.1,1.618,60,8.15,36.8,7.6,29,0.004075,-0.11408,1.5086,8.164,2.05e-010,0.451,268.09,13.6,-0.45,Multi-c-Si
Trina Solar TSM-220PA05.15,45,1.618,60,8.15,36.8,7.6,29,0.004775,-0.12135,1.4995,8.164,1.76e-010,0.454,261.96,5.364,-0.432,Multi-c-Si
Trina Solar TSM-220PA05.18,46.1,1.618,60,8.15,36.8,7.6,29,0.004075,-0.11408,1.5086,8.164,2.05e-010,0.451,268.09,13.6,-0.45,Multi-c-Si
Trina Solar TSM-220PD05,46.1,1.618,60,8.15,36.8,7.6,29,0.005705,-0.13101,1.5485,8.162,3.84e-010,0.441,298.3,3.737,-0.45,Multi-c-Si
Trina Solar TSM-220PD05.08,46.1,1.618,60,8.15,36.8,7.6,29,0.005705,-0.13101,1.5485,8.162,3.84e-010,0.441,298.3,3.737,-0.45,Multi-c-Si
Trina Solar TSM-220PD05.10,46.1,1.618,60,8.15,36.8,7.6,29,0.005705,-0.13101,1.5485,8.162,3.84e-010,0.441,298.3,3.737,-0.45,Multi-c-Si
Trina Solar TSM-220PD05.18,46.1,1.618,60,8.15,36.8,7.6,29,0.005705,-0.13101,1.5485,8.162,3.84e-010,0.441,298.3,3.737,-0.45,Multi-c-Si
Trina Solar TSM-225PA05,46.1,1.618,60,8.2,36.9,7.66,29.4,0.0041,-0.11439,1.5208,8.212,2.34e-010,0.4,283.21,14.8,-0.45,Multi-c-Si
Trina Solar TSM-225PA05.05,45,1.618,60,8.2,36.9,7.66,29.4,0.004804,-0.12168,1.5117,8.212,2.02e-010,0.402,276.63,6.497,-0.432,Multi-c-Si
Trina Solar TSM-225PA05.08,46.1,1.618,60,8.2,36.9,7.66,29.4,0.0041,-0.11439,1.5208,8.212,2.34e-010,0.4,283.21,14.8,-0.45,Multi-c-Si
Trina Solar TSM-225PA05.10,46.1,1.618,60,8.2,36.9,7.66,29.4,0.0041,-0.11439,1.5208,8.212,2.34e-010,0.4,283.21,14.8,-0.45,Multi-c-Si
Trina Solar TSM-225PA05.15,45,1.618,60,8.2,36.9,7.66,29.4,0.004804,-0.12168,1.5117,8.212,2.02e-010,0.402,276.63,6.497,-0.432,Multi-c-Si
Trina Solar TSM-225PA05.18,46.1,1.618,60,8.2,36.9,7.66,29.4,0.0041,-0.11439,1.5208,8.212,2.34e-010,0.4,283.21,14.8,-0.45,Multi-c-Si
Trina Solar TSM-225PD05,46.1,1.618,60,8.2,36.9,7.66,29.4,0.00574,-0.13136,1.5614,8.21,4.41e-010,0.389,316.51,4.859,-0.45,Multi-c-Si
Trina Solar TSM-225PD05.08,46.1,1.618,60,8.2,36.9,7.66,29.4,0.00574,-0.13136,1.5614,8.21,4.41e-010,0.389,316.51,4.859,-0.45,Multi-c-Si
Trina Solar TSM-225PD05.10,46.1,1.618,60,8.2,36.9,7.66,29.4,0.00574,-0.13136,1.5614,8.21,4.41e-010,0.389,316.51,4.859,-0.45,Multi-c-Si
Trina Solar TSM-225PD05.18,46.1,1.618,60,8.2,36.9,7.66,29.4,0.00574,-0.13136,1.5614,8.21,4.41e-010,0.389,316.51,4.859,-0.45,Multi-c-Si
Trina Solar TSM-230DA05,46.3,1.618,60,8.18,37,7.66,30,0.002838,-0.13927,1.6428,8.186,1.34e-009,0.294,424.08,8.899,-0.522,Mono-c-Si
Trina Solar TSM-230PA05,44.1,1.618,60,8.26,37,7.72,29.8,0.004956,-0.1295,1.5591,8.27,4.02e-010,0.342,289.86,5.932,-0.45,Multi-c-Si
Trina Solar TSM-230PA05.05,45,1.618,60,8.26,37,7.72,29.8,0.00484,-0.12201,1.5248,8.271,2.35e-010,0.351,266.44,7.748,-0.432,Multi-c-Si
Trina Solar TSM-230PA05.08,44.1,1.618,60,8.26,37,7.72,29.8,0.004956,-0.1295,1.5591,8.27,4.02e-010,0.342,289.86,5.932,-0.45,Multi-c-Si
Trina Solar TSM-230PA05.10,44.1,1.618,60,8.26,37,7.72,29.8,0.004956,-0.1295,1.5591,8.27,4.02e-010,0.342,289.86,5.932,-0.45,Multi-c-Si
Trina Solar TSM-230PA05.15,45,1.618,60,8.26,37,7.72,29.8,0.00484,-0.12201,1.5248,8.271,2.35e-010,0.351,266.44,7.748,-0.432,Multi-c-Si
Trina Solar TSM-230PA05.18,44.1,1.618,60,8.26,37,7.72,29.8,0.004956,-0.1295,1.5591,8.27,4.02e-010,0.342,289.86,5.932,-0.45,Multi-c-Si
Trina Solar TSM-230PD05,44.1,1.618,60,8.26,37,7.72,29.8,0.005782,-0.13172,1.5753,8.269,5.14e-010,0.338,302.41,6.097,-0.45,Multi-c-Si
Trina Solar TSM-230PD05.08,44.1,1.618,60,8.26,37,7.72,29.8,0.005782,-0.13172,1.5753,8.269,5.14e-010,0.338,302.41,6.097,-0.45,Multi-c-Si
Trina Solar TSM-230PD05.10,44.1,1.618,60,8.26,37,7.72,29.8,0.005782,-0.13172,1.5753,8.269,5.14e-010,0.338,302.41,6.097,-0.45,Multi-c-Si
Trina Solar TSM-230PD05.18,44.1,1.618,60,8.26,37,7.72,29.8,0.005782,-0.13172,1.5753,8.269,5.14e-010,0.338,302.41,6.097,-0.45,Multi-c-Si
Trina Solar TSM-235PA05,44.1,1.618,60,8.31,37.1,7.81,30.1,0.004986,-0.12985,1.565,8.315,4.17e-010,0.308,484.17,6.182,-0.45,Multi-c-Si
Trina Solar TSM-235PA05.05,45,1.618,60,8.31,37.1,7.81,30.1,0.004869,-0.12234,1.5305,8.316,2.44e-010,0.317,422.63,8.003,-0.432,Multi-c-Si
Trina Solar TSM-235PA05.08,44.1,1.618,60,8.31,37.1,7.81,30.1,0.004986,-0.12985,1.565,8.315,4.17e-010,0.308,484.17,6.182,-0.45,Multi-c-Si
Trina Solar TSM-235PA05.10,44.1,1.618,60,8.31,37.1,7.81,30.1,0.004986,-0.12985,1.565,8.315,4.17e-010,0.308,484.17,6.182,-0.45,Multi-c-Si
Trina Solar TSM-235PA05.15,45,1.618,60,8.31,37.1,7.81,30.1,0.004869,-0.12234,1.5305,8.316,2.44e-010,0.317,422.63,8.003,-0.432,Multi-c-Si
Trina Solar TSM-235PA05.18,44.1,1.618,60,8.31,37.1,7.81,30.1,0.004986,-0.12985,1.565,8.315,4.17e-010,0.308,484.17,6.182,-0.45,Multi-c-Si
Trina Solar TSM-235PD05,44.1,1.618,60,8.31,37.1,7.81,30.1,0.005817,-0.13208,1.5813,8.315,5.33e-010,0.304,519.87,6.348,-0.45,Multi-c-Si
Trina Solar TSM-235PD05.08,44.1,1.618,60,8.31,37.1,7.81,30.1,0.005817,-0.13208,1.5813,8.315,5.33e-010,0.304,519.87,6.348,-0.45,Multi-c-Si
Trina Solar TSM-235PD05.10,44.1,1.618,60,8.31,37.1,7.81,30.1,0.005817,-0.13208,1.5813,8.315,5.33e-010,0.304,519.87,6.348,-0.45,Multi-c-Si
Trina Solar TSM-235PD05.18,44.1,1.618,60,8.31,37.1,7.81,30.1,0.005817,-0.13208,1.5813,8.315,5.33e-010,0.304,519.87,6.348,-0.45,Multi-c-Si
Trina Solar TSM-240DA05,46.3,1.618,60,8.38,37.5,7.84,30.6,0.002908,-0.14115,1.6725,8.386,1.52e-009,0.261,356.34,9.783,-0.522,Mono-c-Si
Trina Solar TSM-240PA05,44.1,1.618,60,8.38,37.5,7.84,30.6,0.005028,-0.13125,1.5915,8.388,4.83e-010,0.282,287.19,7.386,-0.45,Multi-c-Si
Trina Solar TSM-240PA05.05,45,1.618,60,8.37,37.2,7.89,30.4,0.004904,-0.12267,1.5384,8.374,2.62e-010,0.284,586.32,8.532,-0.432,Multi-c-Si
Trina Solar TSM-240PA05.08,44.1,1.618,60,8.37,37.2,7.89,30.4,0.005022,-0.1302,1.5731,8.373,4.47e-010,0.275,710.44,6.704,-0.45,Multi-c-Si
Trina Solar TSM-240PA05.10,44.1,1.618,60,8.37,37.2,7.89,30.4,0.005022,-0.1302,1.5731,8.373,4.47e-010,0.275,710.44,6.704,-0.45,Multi-c-Si
Trina Solar TSM-240PA05.15,45,1.618,60,8.37,37.2,7.89,30.4,0.004904,-0.12267,1.5384,8.374,2.62e-010,0.284,586.32,8.532,-0.432,Multi-c-Si
Trina Solar TSM-240PA05.18,44.1,1.618,60,8.37,37.2,7.89,30.4,0.005022,-0.1302,1.5731,8.373,4.47e-010,0.275,710.44,6.704,-0.45,Multi-c-Si
Trina Solar TSM-240PD05,44.1,1.618,60,8.38,37.5,7.84,30.6,0.005866,-0.1335,1.6081,8.388,6.16e-010,0.278,299.13,7.554,-0.45,Multi-c-Si
Trina Solar TSM-240PD05.08,44.1,1.618,60,8.37,37.2,7.89,30.4,0.005859,-0.13243,1.5895,8.373,5.71e-010,0.27,789.22,6.871,-0.45,Multi-c-Si
Trina Solar TSM-240PD05.10,44.1,1.618,60,8.37,37.2,7.89,30.4,0.005859,-0.13243,1.5895,8.373,5.71e-010,0.27,789.22,6.871,-0.45,Multi-c-Si
Trina Solar TSM-240PD05.18,44.1,1.618,60,8.37,37.2,7.89,30.4,0.005859,-0.13243,1.5895,8.373,5.71e-010,0.27,789.22,6.871,-0.45,Multi-c-Si
Trina Solar TSM-245PA05,44.1,1.618,60,8.47,37.3,7.98,30.7,0.005082,-0.13055,1.5844,8.474,5.02e-010,0.24,570.98,7.612,-0.45,Multi-c-Si
Trina Solar TSM-245PA05.05,45,1.618,60,8.47,37.3,7.98,30.7,0.004963,-0.123,1.5493,8.474,2.94e-010,0.249,488.46,9.452,-0.432,Multi-c-Si
Trina Solar TSM-245PA05.08,44.1,1.618,60,8.47,37.3,7.98,30.7,0.005082,-0.13055,1.5844,8.474,5.02e-010,0.24,570.98,7.612,-0.45,Multi-c-Si
Trina Solar TSM-245PA05.10,44.1,1.618,60,8.47,37.3,7.98,30.7,0.005082,-0.13055,1.5844,8.474,5.02e-010,0.24,570.98,7.612,-0.45,Multi-c-Si
Trina Solar TSM-245PA05.15,45,1.618,60,8.47,37.3,7.98,30.7,0.004963,-0.123,1.5493,8.474,2.94e-010,0.249,488.46,9.452,-0.432,Multi-c-Si
Trina Solar TSM-245PA05.18,44.1,1.618,60,8.47,37.3,7.98,30.7,0.005082,-0.13055,1.5844,8.474,5.02e-010,0.24,570.98,7.612,-0.45,Multi-c-Si
Trina Solar TSM-245PD05,44.1,1.618,60,8.47,37.3,7.98,30.7,0.005929,-0.13279,1.601,8.473,6.41e-010,0.235,620.34,7.781,-0.45,Multi-c-Si
Trina Solar TSM-245PD05.08,44.1,1.618,60,8.47,37.3,7.98,30.7,0.005929,-0.13279,1.601,8.473,6.41e-010,0.235,620.34,7.781,-0.45,Multi-c-Si
Trina Solar TSM-245PD05.10,44.1,1.618,60,8.47,37.3,7.98,30.7,0.005929,-0.13279,1.601,8.473,6.41e-010,0.235,620.34,7.781,-0.45,Multi-c-Si
Trina Solar TSM-245PD05.18,44.1,1.618,60,8.47,37.3,7.98,30.7,0.005929,-0.13279,1.601,8.473,6.41e-010,0.235,620.34,7.781,-0.45,Multi-c-Si
Trina Solar TSM-250PA05,44.1,1.618,60,8.55,37.6,8.06,31,0.00513,-0.1316,1.5982,8.553,5.15e-010,0.232,612.44,7.75,-0.45,Multi-c-Si
Trina Solar TSM-250PA05.05,45,1.618,60,8.55,37.4,8.06,31,0.005009,-0.12333,1.5592,8.554,3.24e-010,0.216,484.58,10.24,-0.432,Multi-c-Si
Trina Solar TSM-250PA05.08,44.1,1.618,60,8.55,37.6,8.06,31,0.00513,-0.1316,1.5982,8.553,5.15e-010,0.232,612.44,7.75,-0.45,Multi-c-Si
Trina Solar TSM-250PA05.10,44.1,1.618,60,8.55,37.6,8.06,31,0.00513,-0.1316,1.5982,8.553,5.15e-010,0.232,612.44,7.75,-0.45,Multi-c-Si
Trina Solar TSM-250PA05.15,45,1.618,60,8.55,37.4,8.06,31,0.005009,-0.12333,1.5592,8.554,3.24e-010,0.216,484.58,10.24,-0.432,Multi-c-Si
Trina Solar TSM-250PA05.18,44.1,1.618,60,8.55,37.6,8.06,31,0.00513,-0.1316,1.5982,8.553,5.15e-010,0.232,612.44,7.75,-0.45,Multi-c-Si
Trina Solar TSM-250PA05A,43.6,1.618,60,8.9,37.8,8.2,30.5,0.00445,-0.12474,1.5562,8.925,2.43e-010,0.328,119.1,7.462,-0.43,Multi-c-Si
Trina Solar TSM-250PA05A.08,43.6,1.618,60,8.9,37.8,8.2,30.5,0.00445,-0.12474,1.5562,8.925,2.43e-010,0.328,119.1,7.462,-0.43,Multi-c-Si
Trina Solar TSM-250PA05A.10,43.6,1.618,60,8.9,37.8,8.2,30.5,0.00445,-0.12474,1.5562,8.925,2.43e-010,0.328,119.1,7.462,-0.43,Multi-c-Si
Trina Solar TSM-250PA05A.18,43.6,1.618,60,8.9,37.8,8.2,30.5,0.00445,-0.12474,1.5562,8.925,2.43e-010,0.328,119.1,7.462,-0.43,Multi-c-Si
Trina Solar TSM-250PD05,44.1,1.618,60,8.55,37.6,8.06,31,0.005985,-0.13386,1.615,8.553,6.57e-010,0.227,669.45,7.92,-0.45,Multi-c-Si
Trina Solar TSM-250PD05.08,44.1,1.618,60,8.55,37.6,8.06,31,0.005985,-0.13386,1.615,8.553,6.57e-010,0.227,669.45,7.92,-0.45,Multi-c-Si
Trina Solar TSM-250PD05.10,44.1,1.618,60,8.55,37.6,8.06,31,0.005985,-0.13386,1.615,8.553,6.57e-010,0.227,669.45,7.92,-0.45,Multi-c-Si
Trina Solar TSM-250PD05.18,44.1,1.618,60,8.55,37.6,8.06,31,0.005985,-0.13386,1.615,8.553,6.57e-010,0.227,669.45,7.92,-0.45,Multi-c-Si
Trina Solar TSM-255PA05,44.1,1.618,60,8.62,37.7,8.12,31.4,0.005172,-0.13195,1.6127,8.623,6.02e-010,0.184,478.28,9.05,-0.45,Multi-c-Si
Trina Solar TSM-255PA05.08,44.1,1.618,60,8.62,37.7,8.12,31.4,0.005172,-0.13195,1.6127,8.623,6.02e-010,0.184,478.28,9.05,-0.45,Multi-c-Si
Trina Solar TSM-255PA05.10,44.1,1.618,60,8.62,37.7,8.12,31.4,0.005172,-0.13195,1.6127,8.623,6.02e-010,0.184,478.28,9.05,-0.45,Multi-c-Si
Trina Solar TSM-255PA05.18,44.1,1.618,60,8.62,37.7,8.12,31.4,0.005172,-0.13195,1.6127,8.623,6.02e-010,0.184,478.28,9.05,-0.45,Multi-c-Si
Trina Solar TSM-255PA05A,43.6,1.618,60,8.95,38,8.26,30.9,0.004475,-0.1254,1.57,8.971,2.67e-010,0.294,124.22,8.216,-0.43,Multi-c-Si
Trina Solar TSM-255PA05A.08,43.6,1.618,60,8.95,38,8.26,30.9,0.004475,-0.1254,1.57,8.971,2.67e-010,0.294,124.22,8.216,-0.43,Multi-c-Si
Trina Solar TSM-255PA05A.10,43.6,1.618,60,8.95,38,8.26,30.9,0.004475,-0.1254,1.57,8.971,2.67e-010,0.294,124.22,8.216,-0.43,Multi-c-Si
Trina Solar TSM-255PA05A.18,43.6,1.618,60,8.95,38,8.26,30.9,0.004475,-0.1254,1.57,8.971,2.67e-010,0.294,124.22,8.216,-0.43,Multi-c-Si
Trina Solar TSM-255PD05,44.1,1.618,60,8.62,37.7,8.12,31.4,0.006034,-0.13421,1.6297,8.623,7.68e-010,0.18,511.65,9.221,-0.45,Multi-c-Si
Trina Solar TSM-255PD05.08,44.1,1.618,60,8.62,37.7,8.12,31.4,0.006034,-0.13421,1.6297,8.623,7.68e-010,0.18,511.65,9.221,-0.45,Multi-c-Si
Trina Solar TSM-255PD05.10,44.1,1.618,60,8.62,37.7,8.12,31.4,0.006034,-0.13421,1.6297,8.623,7.68e-010,0.18,511.65,9.221,-0.45,Multi-c-Si
Trina Solar TSM-255PD05.18,44.1,1.618,60,8.62,37.7,8.12,31.4,0.006034,-0.13421,1.6297,8.623,7.68e-010,0.18,511.65,9.221,-0.45,Multi-c-Si
Trina Solar TSM-260PA05,44.1,1.618,60,8.67,37.9,8.2,31.7,0.005202,-0.13265,1.6214,8.672,6.08e-010,0.166,944.05,9.084,-0.45,Multi-c-Si
Trina Solar TSM-260PA05.08,44.1,1.618,60,8.67,37.9,8.2,31.7,0.005202,-0.13265,1.6214,8.672,6.08e-010,0.166,944.05,9.084,-0.45,Multi-c-Si
Trina Solar TSM-260PA05.10,44.1,1.618,60,8.67,37.9,8.2,31.7,0.005202,-0.13265,1.6214,8.672,6.08e-010,0.166,944.05,9.084,-0.45,Multi-c-Si
Trina Solar TSM-260PA05.18,44.1,1.618,60,8.67,37.9,8.2,31.7,0.005202,-0.13265,1.6214,8.672,6.08e-010,0.166,944.05,9.084,-0.45,Multi-c-Si
Trina Solar TSM-260PA05A,43.6,1.618,60,9.02,38.2,8.31,31.3,0.00451,-0.12606,1.587,9.04,3.06e-010,0.26,114.69,9.367,-0.43,Multi-c-Si
Trina Solar TSM-260PA05A.08,43.6,1.618,60,9.02,38.2,8.31,31.3,0.00451,-0.12606,1.587,9.04,3.06e-010,0.26,114.69,9.367,-0.43,Multi-c-Si
Trina Solar TSM-260PA05A.10,43.6,1.618,60,9.02,38.2,8.31,31.3,0.00451,-0.12606,1.587,9.04,3.06e-010,0.26,114.69,9.367,-0.43,Multi-c-Si
Trina Solar TSM-260PA05A.18,43.6,1.618,60,9.02,38.2,8.31,31.3,0.00451,-0.12606,1.587,9.04,3.06e-010,0.26,114.69,9.367,-0.43,Multi-c-Si
Trina Solar TSM-260PD05,44.1,1.618,60,8.67,37.9,8.2,31.7,0.006069,-0.13492,1.6384,8.671,7.76e-010,0.162,1082.71,9.255,-0.45,Multi-c-Si
Trina Solar TSM-260PD05.08,44.1,1.618,60,8.67,37.9,8.2,31.7,0.006069,-0.13492,1.6384,8.671,7.76e-010,0.162,1082.71,9.255,-0.45,Multi-c-Si
Trina Solar TSM-260PD05.10,44.1,1.618,60,8.67,37.9,8.2,31.7,0.006069,-0.13492,1.6384,8.671,7.76e-010,0.162,1082.71,9.255,-0.45,Multi-c-Si
Trina Solar TSM-260PD05.18,44.1,1.618,60,8.67,37.9,8.2,31.7,0.006069,-0.13492,1.6384,8.671,7.76e-010,0.162,1082.71,9.255,-0.45,Multi-c-Si
Trina Solar TSM-265PA05A,43.6,1.618,60,9.07,38.3,8.39,31.6,0.004535,-0.12639,1.5937,9.086,3.21e-010,0.229,130.09,9.732,-0.43,Multi-c-Si
Trina Solar TSM-265PA05A.08,43.6,1.618,60,9.07,38.3,8.39,31.6,0.004535,-0.12639,1.5937,9.086,3.21e-010,0.229,130.09,9.732,-0.43,Multi-c-Si
Trina Solar TSM-265PA05A.10,43.6,1.618,60,9.07,38.3,8.39,31.6,0.004535,-0.12639,1.5937,9.086,3.21e-010,0.229,130.09,9.732,-0.43,Multi-c-Si
Trina Solar TSM-265PA05A.18,43.6,1.618,60,9.07,38.3,8.39,31.6,0.004535,-0.12639,1.5937,9.086,3.21e-010,0.229,130.09,9.732,-0.43,Multi-c-Si
Trina Solar TSM-270PA05A,43.6,1.618,60,9.13,38.5,8.46,31.9,0.004565,-0.12705,1.6043,9.144,3.35e-010,0.21,137.44,10.05,-0.43,Multi-c-Si
Trina Solar TSM-270PA05A.08,43.6,1.618,60,9.13,38.5,8.46,31.9,0.004565,-0.12705,1.6043,9.144,3.35e-010,0.21,137.44,10.05,-0.43,Multi-c-Si
Trina Solar TSM-270PA05A.10,43.6,1.618,60,9.13,38.5,8.46,31.9,0.004565,-0.12705,1.6043,9.144,3.35e-010,0.21,137.44,10.05,-0.43,Multi-c-Si
Trina Solar TSM-270PA05A.18,43.6,1.618,60,9.13,38.5,8.46,31.9,0.004565,-0.12705,1.6043,9.144,3.35e-010,0.21,137.44,10.05,-0.43,Multi-c-Si
Trina Solar TSM-270PA14,44,1.921,72,8.29,44.34,7.6,35.52,0.004974,-0.15962,1.9237,8.315,7.82e-010,0.426,140.45,8.688,-0.47,Multi-c-Si
